primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename,len_sec_labels,path,frames,sr,duration
cibwar1,[],['song'],-1.3589,29.6187,Bradypterus cinnamomeus,Cinnamon Bracken-Warbler,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/227226,cibwar1/XC227226.ogg,0,/kaggle/input/birdclef-2023/train_audio/cibwar1/XC227226.ogg,1305704,32000,40.80325
cohmar1,['wlwwar'],['call'],58.4834,14.5014,Delichon urbicum,Common House-Martin,Patrik Åberg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,https://www.xeno-canto.org/110322,cohmar1/XC110322.ogg,1,/kaggle/input/birdclef-2023/train_audio/cohmar1/XC110322.ogg,3820983,32000,119.40571875
cohmar1,[],['flight call'],37.3367,-6.5334,Delichon urbicum,Common House-Martin,José Carlos Sires,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/341123,cohmar1/XC341123.ogg,0,/kaggle/input/birdclef-2023/train_audio/cohmar1/XC341123.ogg,1772983,32000,55.40571875
afpfly1,[],"['flight call', 'song']",2.3712,15.8593,Terpsiphone viridis,African Paradise-Flycatcher,Andres Angulo Rubiano,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/489842,afpfly1/XC489842.ogg,0,/kaggle/input/birdclef-2023/train_audio/afpfly1/XC489842.ogg,2258688,32000,70.584
didcuc1,[],['song'],-0.5006,34.2156,Chrysococcyx caprius,Dideric Cuckoo,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/396095,didcuc1/XC396095.ogg,0,/kaggle/input/birdclef-2023/train_audio/didcuc1/XC396095.ogg,1013969,32000,31.68653125
rindov,['rbsrob1'],['call'],9.7811,44.4448,Streptopelia capicola,Ring-necked Dove,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/173077,rindov/XC173077.ogg,1,/kaggle/input/birdclef-2023/train_audio/rindov/XC173077.ogg,228206,32000,7.1314375
yertin1,[],['song'],-5.999361,39.364556,Pogoniulus bilineatus,Yellow-rumped Tinkerbird,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/633720,yertin1/XC633720.ogg,0,/kaggle/input/birdclef-2023/train_audio/yertin1/XC633720.ogg,560640,32000,17.52
eubeat1,[],"['call', 'flight call', 'life stage uncertain', 'sex uncertain']",48.0521,7.6771,Merops apiaster,European Bee-eater,Jan Daniels-Trautner,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/556754,eubeat1/XC556754.ogg,0,/kaggle/input/birdclef-2023/train_audio/eubeat1/XC556754.ogg,910080,32000,28.44
blakit1,[],['flight call'],55.0409,47.7274,Milvus migrans,Black Kite,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/189743,blakit1/XC189743.ogg,0,/kaggle/input/birdclef-2023/train_audio/blakit1/XC189743.ogg,654524,32000,20.453875
somtit4,[],['call'],5.2013,40.0589,Melaniparus thruppi,Somali Tit,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/266415,somtit4/XC266415.ogg,0,/kaggle/input/birdclef-2023/train_audio/somtit4/XC266415.ogg,1549056,32000,48.408
ratcis1,"['didcuc1', 'eswdov1', 'helgui', 'wbswea1']",['call'],-26.5814,26.8459,Cisticola chiniana,Rattling Cisticola,Tony Archer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/504249,ratcis1/XC504249.ogg,4,/kaggle/input/birdclef-2023/train_audio/ratcis1/XC504249.ogg,900284,32000,28.133875
abythr1,[],['call'],-1.2502,29.7971,Turdus abyssinicus,Abyssinian Thrush,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/234743,abythr1/XC234743.ogg,0,/kaggle/input/birdclef-2023/train_audio/abythr1/XC234743.ogg,412944,32000,12.9045
pitwhy,[],"['female', 'male', 'song']",-1.3667,36.8333,Vidua macroura,Pin-tailed Whydah,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/247175,pitwhy/XC247175.ogg,0,/kaggle/input/birdclef-2023/train_audio/pitwhy/XC247175.ogg,840934,32000,26.2791875
gnbcam2,[],[''],-17.9115,25.8278,Camaroptera brevicaudata,Gray-backed Camaroptera,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://xeno-canto.org/203210,gnbcam2/XC203210.ogg,0,/kaggle/input/birdclef-2023/train_audio/gnbcam2/XC203210.ogg,935393,32000,29.23103125
cohmar1,[],['flight call'],44.3084,4.3464,Delichon urbicum,Common House-Martin,Pierre Foulquier,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,https://www.xeno-canto.org/561815,cohmar1/XC561815.ogg,0,/kaggle/input/birdclef-2023/train_audio/cohmar1/XC561815.ogg,227360,32000,7.105
strher,[],"['alarm call', 'call']",-6.2312,107.7746,Butorides striata,Striated Heron,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/204078,strher/XC204078.ogg,0,/kaggle/input/birdclef-2023/train_audio/strher/XC204078.ogg,191425,32000,5.98203125
combuz1,[],"['begging call', 'flight call']",52.4867,10.1579,Buteo buteo,Common Buzzard,Sven Kransel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/667098,combuz1/XC667098.ogg,0,/kaggle/input/birdclef-2023/train_audio/combuz1/XC667098.ogg,421280,32000,13.165
reboxp1,[],['call'],-6.7849,33.7788,Buphagus erythrorynchus,Red-billed Oxpecker,Thibaut Chansac,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/200769,reboxp1/XC200769.ogg,0,/kaggle/input/birdclef-2023/train_audio/reboxp1/XC200769.ogg,348578,32000,10.8930625
meypar1,[],['flight call'],-12.561,30.2654,Poicephalus meyeri,Meyer's Parrot,Dries Van de Loock,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/552075,meypar1/XC552075.ogg,0,/kaggle/input/birdclef-2023/train_audio/meypar1/XC552075.ogg,436224,32000,13.632
sincis1,[],[''],-3.3528,38.3376,Cisticola cantans,Singing Cisticola,Lars Lachmann,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://xeno-canto.org/755418,sincis1/XC755418.ogg,0,/kaggle/input/birdclef-2023/train_audio/sincis1/XC755418.ogg,759850,32000,23.7453125
grecor,[],[''],35.0287,135.6806,Phalacrocorax carbo,Great Cormorant,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/753201,grecor/XC753201.ogg,0,/kaggle/input/birdclef-2023/train_audio/grecor/XC753201.ogg,1003759,32000,31.36746875
ccbeat1,['gryapa1'],['call'],-1.1367,37.2564,Merops oreobates,Cinnamon-chested Bee-eater,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/479063,ccbeat1/XC479063.ogg,1,/kaggle/input/birdclef-2023/train_audio/ccbeat1/XC479063.ogg,560896,32000,17.528
rebfir2,['combul2'],['call'],-3.3494,36.6872,Lagonosticta senegala,Red-billed Firefinch,Bernard BOUSQUET,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/440911,rebfir2/XC440911.ogg,1,/kaggle/input/birdclef-2023/train_audio/rebfir2/XC440911.ogg,1431072,32000,44.721
eswdov1,[],[''],-3.1552,40.1326,Turtur chalcospilos,Emerald-spotted Wood-Dove,Lars Lachmann,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://xeno-canto.org/756323,eswdov1/XC756323.ogg,0,/kaggle/input/birdclef-2023/train_audio/eswdov1/XC756323.ogg,596010,32000,18.6253125
bcbeat1,[],['call'],-6.101528,39.243122,Merops persicus,Blue-cheeked Bee-eater,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/633735,bcbeat1/XC633735.ogg,0,/kaggle/input/birdclef-2023/train_audio/bcbeat1/XC633735.ogg,197376,32000,6.168
blbpuf2,[],[''],-2.9858,37.5975,Dryoscopus cubla,Black-backed Puffback,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://xeno-canto.org/700039,blbpuf2/XC700039.ogg,0,/kaggle/input/birdclef-2023/train_audio/blbpuf2/XC700039.ogg,467712,32000,14.616
woosan,[],"['flight call', 'nocturnal flight call']",50.8297,3.2408,Tringa glareola,Wood Sandpiper,Ignaas Robbe,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/492304,woosan/XC492304.ogg,0,/kaggle/input/birdclef-2023/train_audio/woosan/XC492304.ogg,160512,32000,5.016
hadibi1,[],['call'],-3.362,40.004,Bostrychia hagedash,Hadada Ibis,Stephan Risch,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,https://www.xeno-canto.org/532295,hadibi1/XC532295.ogg,0,/kaggle/input/birdclef-2023/train_audio/hadibi1/XC532295.ogg,1822464,32000,56.952
reccuc1,[],['call'],-22.4507,30.5609,Cuculus solitarius,Red-chested Cuckoo,Derek Solomon,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,1.0,https://www.xeno-canto.org/445672,reccuc1/XC445672.ogg,0,/kaggle/input/birdclef-2023/train_audio/reccuc1/XC445672.ogg,270336,32000,8.448
huncis1,[],['song'],-0.3833,37.3112,Cisticola hunteri,Hunter's Cisticola,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/344762,huncis1/XC344762.ogg,0,/kaggle/input/birdclef-2023/train_audio/huncis1/XC344762.ogg,919510,32000,28.7346875
hoopoe,[],['call'],-32.1753,24.5937,Upupa epops,Eurasian Hoopoe,Alan Collett,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/357489,hoopoe/XC357489.ogg,0,/kaggle/input/birdclef-2023/train_audio/hoopoe/XC357489.ogg,1238831,32000,38.71346875
barswa,[],"['begging call', 'call', 'juvenile', 'wing beat']",53.1234,-1.9189,Hirundo rustica,Barn Swallow,Dominic Garcia-Hall,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/383832,barswa/XC383832.ogg,0,/kaggle/input/birdclef-2023/train_audio/barswa/XC383832.ogg,571768,32000,17.86775
combuz1,[],['flight call'],55.2375,47.6393,Buteo buteo,Common Buzzard,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.0,https://www.xeno-canto.org/144257,combuz1/XC144257.ogg,0,/kaggle/input/birdclef-2023/train_audio/combuz1/XC144257.ogg,1239667,32000,38.73959375
somgre1,[],['song'],-33.9864,20.8206,Andropadus importunus,Sombre Greenbul,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/55765,somgre1/XC55765.ogg,0,/kaggle/input/birdclef-2023/train_audio/somgre1/XC55765.ogg,296751,32000,9.27346875
lotlap1,[],['call'],-0.727,36.424,Vanellus crassirostris,Long-toed Lapwing,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/403567,lotlap1/XC403567.ogg,0,/kaggle/input/birdclef-2023/train_audio/lotlap1/XC403567.ogg,132064,32000,4.127
woosan,[],"['flight call', 'nocturnal flight call']",47.7907,-0.6461,Tringa glareola,Wood Sandpiper,Manceau Lionel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.0,https://www.xeno-canto.org/552396,woosan/XC552396.ogg,0,/kaggle/input/birdclef-2023/train_audio/woosan/XC552396.ogg,258816,32000,8.088
eaywag1,[],"['call', 'female']",67.6774,67.9779,Motacilla flava,Western Yellow Wagtail,Giovanni Boano,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/268469,eaywag1/XC268469.ogg,0,/kaggle/input/birdclef-2023/train_audio/eaywag1/XC268469.ogg,713874,32000,22.3085625
wbrcha2,[],['song'],1.0364,35.1809,Cossypha heuglini,White-browed Robin-Chat,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/538476,wbrcha2/XC538476.ogg,0,/kaggle/input/birdclef-2023/train_audio/wbrcha2/XC538476.ogg,478145,32000,14.94203125
gbesta1,[],['call'],5.2501,39.7167,Lamprotornis chalybaeus,Greater Blue-eared Starling,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/210341,gbesta1/XC210341.ogg,0,/kaggle/input/birdclef-2023/train_audio/gbesta1/XC210341.ogg,1590528,32000,49.704
rbsrob1,[],['song'],-2.8922,37.5837,Cercotrichas leucophrys,Red-backed Scrub-Robin,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/583187,rbsrob1/XC583187.ogg,0,/kaggle/input/birdclef-2023/train_audio/rbsrob1/XC583187.ogg,908544,32000,28.392
lawgol,[],[''],31.34,-109.273,Spinus lawrencei,Lawrence's Goldfinch,Richard E. Webster,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://xeno-canto.org/710128,lawgol/XC710128.ogg,0,/kaggle/input/birdclef-2023/train_audio/lawgol/XC710128.ogg,20745216,32000,648.288
rbsrob1,"['hoopoe', 'litswi1', 'rindov']",['alarm call'],9.7811,44.4448,Cercotrichas leucophrys,Red-backed Scrub-Robin,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/173080,rbsrob1/XC173080.ogg,3,/kaggle/input/birdclef-2023/train_audio/rbsrob1/XC173080.ogg,819200,32000,25.6
wlwwar,['wlwwar'],"['call', 'song']",52.0325,-8.5804,Phylloscopus trochilus,Willow Warbler,Harry Hussey,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/418813,wlwwar/XC418813.ogg,1,/kaggle/input/birdclef-2023/train_audio/wlwwar/XC418813.ogg,2183392,32000,68.231
brubru1,[],"['adult', 'call', 'male']",-26.9362,27.2756,Nilaus afer,Brubru,Dawie de Swardt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/508496,brubru1/XC508496.ogg,0,/kaggle/input/birdclef-2023/train_audio/brubru1/XC508496.ogg,478981,32000,14.96815625
cohmar1,[],"['begging call', 'call']",41.3359,0.737,Delichon urbicum,Common House-Martin,Jordi Calvet,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/337362,cohmar1/XC337362.ogg,0,/kaggle/input/birdclef-2023/train_audio/cohmar1/XC337362.ogg,301824,32000,9.432
grewoo2,[],"['adult', 'call', 'male', 'song']",6.0608,12.8222,Phoeniculus purpureus,Green Woodhoopoe,Andres Angulo Rubiano,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/504531,grewoo2/XC504531.ogg,0,/kaggle/input/birdclef-2023/train_audio/grewoo2/XC504531.ogg,115968,32000,3.624
eswdov1,[],['song'],4.3906,38.2788,Turtur chalcospilos,Emerald-spotted Wood-Dove,Rolf A. de By,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/410290,eswdov1/XC410290.ogg,0,/kaggle/input/birdclef-2023/train_audio/eswdov1/XC410290.ogg,1132669,32000,35.39590625
barswa,[],"['adult', 'sex uncertain', 'song']",39.1886,16.7889,Hirundo rustica,Barn Swallow,Gianluca Congi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,http://xeno-canto.org/679407,barswa/XC679407.ogg,0,/kaggle/input/birdclef-2023/train_audio/barswa/XC679407.ogg,587520,32000,18.36
blwlap1,[],"['adult', 'call']",-3.3991,36.2643,Vanellus melanopterus,Black-winged Lapwing,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/583518,blwlap1/XC583518.ogg,0,/kaggle/input/birdclef-2023/train_audio/blwlap1/XC583518.ogg,440832,32000,13.776
gobbun1,['bkctch1'],['song'],-10.7644,25.6804,Emberiza flaviventris,Golden-breasted Bunting,Robert Davis,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/394478,gobbun1/XC394478.ogg,1,/kaggle/input/birdclef-2023/train_audio/gobbun1/XC394478.ogg,492356,32000,15.386125
egygoo,[],"['male', 'song']",-0.344,36.08,Alopochen aegyptiaca,Egyptian Goose,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/398618,egygoo/XC398618.ogg,0,/kaggle/input/birdclef-2023/train_audio/egygoo/XC398618.ogg,239072,32000,7.471
grecor,[],['call'],35.0278,135.6794,Phalacrocorax carbo,Great Cormorant,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/202890,grecor/XC202890.ogg,0,/kaggle/input/birdclef-2023/train_audio/grecor/XC202890.ogg,43008,32000,1.344
wfbeat1,[],"['adult', 'flight call', 'sex uncertain']",-26.4937,31.1899,Merops bullockoides,White-fronted Bee-eater,Craig Robertson,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/586182,wfbeat1/XC586182.ogg,0,/kaggle/input/birdclef-2023/train_audio/wfbeat1/XC586182.ogg,470622,32000,14.7069375
laudov1,[],"['adult', 'call', 'sex uncertain']",-33.2945,26.5106,Streptopelia senegalensis,Laughing Dove,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/539786,laudov1/XC539786.ogg,0,/kaggle/input/birdclef-2023/train_audio/laudov1/XC539786.ogg,1128480,32000,35.265
whbwhe3,['gbesta1'],['call'],-2.9858,37.5975,Zosterops flavilateralis,Pale White-eye,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/593142,whbwhe3/XC593142.ogg,1,/kaggle/input/birdclef-2023/train_audio/whbwhe3/XC593142.ogg,529920,32000,16.56
helgui,[],"['alarm call', 'flight call']",-15.477,28.4237,Numida meleagris,Helmeted Guineafowl,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,https://www.xeno-canto.org/118436,helgui/XC118436.ogg,0,/kaggle/input/birdclef-2023/train_audio/helgui/XC118436.ogg,993907,32000,31.05959375
reftin1,[],"['adult', 'call']",-28.7944,32.0986,Pogoniulus pusillus,Red-fronted Tinkerbird,Tony Archer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/620819,reftin1/XC620819.ogg,0,/kaggle/input/birdclef-2023/train_audio/reftin1/XC620819.ogg,262464,32000,8.202
afrthr1,['combul2'],['song'],0.3328,32.5689,Turdus pelios,African Thrush,Josh Engel,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,https://www.xeno-canto.org/137935,afrthr1/XC137935.ogg,1,/kaggle/input/birdclef-2023/train_audio/afrthr1/XC137935.ogg,2296320,32000,71.76
cohmar1,[],['flight call'],50.6042,-1.1901,Delichon urbicum,Common House-Martin,Jon Sparshott,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.0,https://www.xeno-canto.org/587469,cohmar1/XC587469.ogg,0,/kaggle/input/birdclef-2023/train_audio/cohmar1/XC587469.ogg,160512,32000,5.016
laudov1,[],[''],22.438,31.6097,Streptopelia senegalensis,Laughing Dove,GABRIEL LEITE,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/700164,laudov1/XC700164.ogg,0,/kaggle/input/birdclef-2023/train_audio/laudov1/XC700164.ogg,721920,32000,22.56
wbgbir1,[],['call'],-0.727,36.424,Corythaixoides leucogaster,White-bellied Go-away-bird,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.0,https://www.xeno-canto.org/56502,wbgbir1/XC56502.ogg,0,/kaggle/input/birdclef-2023/train_audio/wbgbir1/XC56502.ogg,394553,32000,12.32978125
quailf1,[],['flight call'],14.1502,-16.627,Ortygospiza atricollis,Quailfinch,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/239849,quailf1/XC239849.ogg,0,/kaggle/input/birdclef-2023/train_audio/quailf1/XC239849.ogg,183902,32000,5.7469375
cohmar1,[],['flight call'],56.1545,47.2399,Delichon urbicum,Common House-Martin,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/197787,cohmar1/XC197787.ogg,0,/kaggle/input/birdclef-2023/train_audio/cohmar1/XC197787.ogg,631118,32000,19.7224375
affeag1,[],['call'],-26.8225,26.6501,Haliaeetus vocifer,African Fish-Eagle,Tony Archer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/556786,affeag1/XC556786.ogg,0,/kaggle/input/birdclef-2023/train_audio/affeag1/XC556786.ogg,280032,32000,8.751
carcha1,[],['song'],-33.3667,19.3167,Cossypha caffra,Cape Robin-Chat,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.0,https://www.xeno-canto.org/39422,carcha1/XC39422.ogg,0,/kaggle/input/birdclef-2023/train_audio/carcha1/XC39422.ogg,215667,32000,6.73959375
thrnig1,[],['song'],58.9306,23.4721,Luscinia luscinia,Thrush Nightingale,Graham Catley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/243986,thrnig1/XC243986.ogg,0,/kaggle/input/birdclef-2023/train_audio/thrnig1/XC243986.ogg,2507755,32000,78.36734375
blakit1,[],[''],35.0282,135.7626,Milvus migrans,Black Kite,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://xeno-canto.org/711471,blakit1/XC711471.ogg,0,/kaggle/input/birdclef-2023/train_audio/blakit1/XC711471.ogg,5637433,32000,176.16978125
grwpyt1,[],[''],-2.9858,37.5975,Pytilia melba,Green-winged Pytilia,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/721928,grwpyt1/XC721928.ogg,0,/kaggle/input/birdclef-2023/train_audio/grwpyt1/XC721928.ogg,1315584,32000,41.112
rbsrob1,"['hadibi1', 'helgui']","['adult', 'sex uncertain', 'song']",-26.773,26.6953,Cercotrichas leucophrys,Red-backed Scrub-Robin,Tony Archer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,http://xeno-canto.org/683635,rbsrob1/XC683635.ogg,2,/kaggle/input/birdclef-2023/train_audio/rbsrob1/XC683635.ogg,1224608,32000,38.269
cohmar1,['barswa'],"['adult', 'call', 'female', 'flight call', 'juvenile', 'male', 'song']",47.9964,10.9532,Delichon urbicum,Common House-Martin,Beatrix Saadi-Varchmin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/581969,cohmar1/XC581969.ogg,1,/kaggle/input/birdclef-2023/train_audio/cohmar1/XC581969.ogg,4159530,32000,129.9853125
carcha1,[],['song'],-30.7911,27.9667,Cossypha caffra,Cape Robin-Chat,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/309839,carcha1/XC309839.ogg,0,/kaggle/input/birdclef-2023/train_audio/carcha1/XC309839.ogg,1132800,32000,35.4
